t,k,exportVal,rca,distance,importVal,imports_norm,density,code,description
2010,721030,6802.92,0.2059,0.8058,25572.214,0.266,0.19420000000000004,721030,"Iron or non-alloy steel: flat-rolled, width 600mm or more, electrolytically plated or coated with zinc"
2010,721041,35230.537,7.001,0.6558,1537.773,0.0159,0.34419999999999995,721041,"Iron or non-alloy steel: flat-rolled, width 600mm or more, corrugated, plated or coated with zinc (not electrolytically)"
2010,721049,206105.9,1.5706,0.7307,96133.203,1.0,0.2693,721049,"Iron or non-alloy steel: flat-rolled, width 600mm or more, (not corrugated), plated or coated with zinc (not electrolytically)"
2010,721050,2179.683,0.2766,0.8021,4602.187,0.0478,0.19789999999999996,721050,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with chromium oxides or with chromium and chromium oxides"
2010,721061,1900.766,0.1271,0.7747,20287.176,0.211,0.22529999999999994,721061,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with aluminium zinc-alloys"
2010,721069,1423.986,0.246,0.8153,5680.422,0.059,0.18469999999999998,721069,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with aluminium, other than plated or coated with aluminium zinc-alloys"
2010,721070,11451.518,0.2157,0.7636,47446.07,0.4935,0.23640000000000005,721070,"Iron or non-alloy steel: flat-rolled, width 600mm or more, painted, varnished or coated with plastics"
2010,721090,11100.299,1.4447,0.7369,12423.732,0.1292,0.2631,721090,"Iron or non-alloy steel: flat-rolled, width 600mm or more, plated or coated with materials n.e.c. in heading no. 7210"
2010,721113,535.847,0.3314,0.8003,114.279,0.0011,0.1997,721113,"Iron or non-alloy steel: flat-rolled, hot-rolled, rolled on four faces or in a closed box pass, of a width more than 150mm but less than 600mm, 4mm thick or more, not in coils, without patterns in relief"
2010,721114,1689.318,0.3949,0.7701,303.561,0.0031,0.2299,721114,"Iron or non-alloy steel: flat-rolled, hot-rolled, of a width less than 600mm, 4.75mm thick or more, excluding those of item no. 7211.13"
2010,721119,2417.851,0.2507,0.7762,1656.412,0.0172,0.2238,721119,"Iron or non-alloy steel: flat-rolled, hot-rolled, of a width less than 600mm, less than 4.75mm thick, excluding those of item no. 7211.13"
2010,721123,44.345,0.0044,0.779,5427.204,0.0564,0.22099999999999997,721123,"Iron or non-alloy steel: flat-rolled, cold-rolled, of a width less than 600mm, containing by weight less than 0.25% of carbon"
2010,721129,344.746,0.0655,0.8005,3348.448,0.0348,0.1995,721129,"Iron or non-alloy steel: flat-rolled, cold-rolled, of a width less than 600mm, containing by weight 0.25% or more of carbon"
2010,721190,6452.052,2.114,0.7351,2417.709,0.0251,0.2649,721190,"Iron or non-alloy steel: flat-rolled, n.e.c. in heading no. 7211, width less than 600mm"
2010,721210,1697.925,1.1162,0.7448,1062.039,0.011,0.2552,721210,"Iron or non-alloy steel: flat-rolled, width less than 600mm, plated or coated with tin"
